Factor_Ponderación,Pregunta.1,Pregunta.1.4,Pregunta.2,Pregunta.3,Pregunta.4,Pregunta.5,Pregunta.6,Pregunta.7,Pregunta.8.1,Pregunta.8.2,Pregunta.8.3,Pregunta.8.4,Pregunta.8.5,Pregunta.9.a,Pregunta.10.a,Pregunta.11.a,Pregunta.9.b,Pregunta.10.b,Pregunta.11.b,Pregunta.9.c,Pregunta.10.c,Pregunta.11.c,Pregunta.9.d,Pregunta.10.d,Pregunta.11.d,Pregunta.9.e,Pregunta.12.1,Pregunta.12.2,Pregunta.12.3,Pregunta.12.4,Pregunta.12.5,Pregunta.12.6,Pregunta.12.7,Pregunta.12.8,Pregunta.12.9,Pregunta.12.10,Pregunta.12.11,Pregunta.12.97,Pregunta.13,Pregunta.14.1,Pregunta.14.2,Pregunta.14.3,Pregunta.14.4,Pregunta.14.5,Pregunta.15.1,Pregunta.15.2,Pregunta.15.98,Pregunta.16.1,Pregunta.16.2,Pregunta.16.3,Pregunta.16.4,R17,Pregunta.17.1,Pregunta.17.2,Pregunta.17.3,Pregunta.17.4,Pregunta.18.1,Pregunta.18.2,Pregunta.18.3,Pregunta.18.4,Pregunta.18.5,Pregunta.18.6,Pregunta.18.7,Pregunta.19.1,Pregunta.19.2,Pregunta.19.3,Pregunta.19.4,Pregunta.20,Pregunta.21.1,Pregunta.21.2,Pregunta.21.3,Pregunta.21.4,Pregunta.21.89,Pregunta.21. 89 / ¿Cuál?,Pregunta.22,Pregunta.23,R24,Pregunta.24.1,Pregunta.24.2,Pregunta.24.3,Pregunta.24.4,Pregunta.25.a,Pregunta.26.a,Pregunta.25.b,Pregunta.26.b,Pregunta.25.c,Pregunta.26.c,Pregunta.27.1,Pregunta.27.2,Pregunta.27.3,Pregunta.27.4,Pregunta.27.5,Pregunta.27.6,Pregunta.27.7,Pregunta.27.8,Pregunta.27.9,Pregunta.27.10,Pregunta.27.11,Pregunta.27.12,Pregunta.27.13,Pregunta.27.14,Pregunta.27.15,Pregunta.27.16,Pregunta.27.98,Pregunta.28,Pregunta.29,Pregunta.30,Pregunta.31,Pregunta.32.1,Pregunta.32.2,Pregunta.32.3,Pregunta.32.4,Pregunta.32.5,Pregunta.32.99,Pregunta.33,Pregunta.34,Pregunta.35,Pregunta.36.a,Pregunta.36.b,Pregunta.36.c,Pregunta.36.d,Pregunta.36.e,Pregunta.36.f,Pregunta.36.g,Pregunta.36.h,Pregunta.37.1,Pregunta.37.2,Pregunta.37.3,Pregunta.37.4,Pregunta.37.5,Pregunta.37.6,Pregunta.37.7,Pregunta.38,Pregunta.39.1,Pregunta.39.2,Pregunta.39.3,Pregunta.40.a,Pregunta.41.a.1,Pregunta.41.a.2,Pregunta.41.a.3,Pregunta.42.a.ll,Pregunta.42.a.pr,Pregunta.42.a.in,Pregunta.40.b,Pregunta.41.b.1,Pregunta.41.b.2,Pregunta.41.b.3,Pregunta.42.b.ll,Pregunta.42.b.pr,Pregunta.42.b.in,Pregunta.40.c,Pregunta.41.c.1,Pregunta.41.c.2,Pregunta.41.c.3,Pregunta.42.c.ll,Pregunta.42.c.pr,Pregunta.42.c.in,Pregunta.40.d,Pregunta.41.d.1,Pregunta.41.d.2,Pregunta.41.d.3,Pregunta.42.d.ll,Pregunta.42.d.pr,Pregunta.42.d.in,Pregunta.40.e,Pregunta.41.e.1,Pregunta.41.e.2,Pregunta.41.e.3,Pregunta.42.e.ll,Pregunta.42.e.pr,Pregunta.42.e.in,Pregunta.40.f,Pregunta.43.a,Pregunta.44.a.1,Pregunta.44.a.2,Pregunta.44.a.3,Pregunta.44.a.4,Pregunta.44.a.98,Pregunta.45.a.pres,Pregunta.45.a.int,Pregunta.45.a.tel,Pregunta.45.a.otrp,Pregunta.43.b,Pregunta.44.b.1,Pregunta.44.b.2,Pregunta.44.b.3,Pregunta.44.b.4,Pregunta.44.b.98,Pregunta.45.b.pres,Pregunta.45.b.int,Pregunta.45.b.tel,Pregunta.45.b.otrp,Pregunta.43.c,Pregunta.44.c.1,Pregunta.44.c.2,Pregunta.44.c.3,Pregunta.44.c.4,Pregunta.44.c.98,Pregunta.45.c.pres,Pregunta.45.c.int,Pregunta.45.c.tel,Pregunta.45.c.otrp,Pregunta.43.d,Pregunta.44.d.1,Pregunta.44.d.2,Pregunta.44.d.3,Pregunta.44.d.4,Pregunta.44.d.98,Pregunta.45.d.pres,Pregunta.45.d.int,Pregunta.45.d.tel,Pregunta.45.d.otrp,Pregunta.43.e,Pregunta.44.e.1,Pregunta.44.e.2,Pregunta.44.e.3,Pregunta.44.e.4,Pregunta.44.e.98,Pregunta.45.e.pres,Pregunta.45.e.int,Pregunta.45.e.tel,Pregunta.45.e.otrp,Pregunta.43.f,Pregunta.44.f.1,Pregunta.44.f.2,Pregunta.44.f.3,Pregunta.44.f.4,Pregunta.44.f.98,Pregunta.45.f.pres,Pregunta.45.f.int,Pregunta.45.f.tel,Pregunta.45.f.otrp,Pregunta.43.g,Pregunta.44.g.1,Pregunta.44.g.2,Pregunta.44.g.3,Pregunta.44.g.4,Pregunta.44.g.98,Pregunta.45.g.pres,Pregunta.45.g.int,Pregunta.45.g.tel,Pregunta.45.g.otrp,Pregunta.43.h,Pregunta.44.h.1,Pregunta.44.h.2,Pregunta.44.h.3,Pregunta.44.h.4,Pregunta.44.h.98,Pregunta.45.h.pres,Pregunta.45.h.int,Pregunta.45.h.tel,Pregunta.45.h.otrp,Pregunta.43.i,Pregunta.44.i.1,Pregunta.44.i.2,Pregunta.44.i.3,Pregunta.44.i.4,Pregunta.44.i.98,Pregunta.45.i.pres,Pregunta.45.i.int,Pregunta.45.i.tel,Pregunta.45.i.otrp,Pregunta.43.j,Pregunta.44.j.1,Pregunta.44.j.2,Pregunta.44.j.3,Pregunta.44.j.4,Pregunta.44.j.98,Pregunta.45.j.pres,Pregunta.45.j.int,Pregunta.45.j.tel,Pregunta.45.j.otrp,Pregunta.43.k,Pregunta.44.k.1,Pregunta.44.k.2,Pregunta.44.k.3,Pregunta.44.k.4,Pregunta.44.k.98,Pregunta.45.k.pres,Pregunta.45.k.int,Pregunta.45.k.tel,Pregunta.45.k.otrp,Pregunta.43.l,Pregunta.44.l.1,Pregunta.44.l.2,Pregunta.44.l.3,Pregunta.44.l.4,Pregunta.44.l.98,Pregunta.45.l.pres,Pregunta.45.l.int,Pregunta.45.l.tel,Pregunta.45.l.otrp,Pregunta.43.m,Pregunta.44.m.1,Pregunta.44.m.2,Pregunta.44.m.3,Pregunta.44.m.4,Pregunta.44.m.98,Pregunta.45.m.pres,Pregunta.45.m.int,Pregunta.45.m.tel,Pregunta.45.m.otrp,Pregunta.43.n,Pregunta.44.n.1,Pregunta.44.n.2,Pregunta.44.n.3,Pregunta.44.n.4,Pregunta.44.n.98,Pregunta.45.n.pres,Pregunta.45.n.int,Pregunta.45.n.tel,Pregunta.45.n.otrp,Pregunta.43.o,Pregunta.44.o.1,Pregunta.44.o.2,Pregunta.44.o.3,Pregunta.44.o.4,Pregunta.44.o.98,Pregunta.45.o.pres,Pregunta.45.o.int,Pregunta.45.o.tel,Pregunta.45.o.otrp,Pregunta.43.p,Pregunta.46.llamada.1,Pregunta.46.llamada.2,Pregunta.46.llamada.3,Pregunta.46.llamada.4,Pregunta.46.llamada.5,Pregunta.46.llamada.6,Pregunta.46.internet.1,Pregunta.46.internet.2,Pregunta.46.internet.3,Pregunta.46.internet.4,Pregunta.46.internet.5,Pregunta.46.internet.6,Pregunta.46.presencial.1,Pregunta.46.presencial.2,Pregunta.46.presencial.3,Pregunta.46.presencial.4,Pregunta.46.presencial.5,Pregunta.46.presencial.6,Pregunta.47.1,Pregunta.47.2,Pregunta.47.3,Pregunta.48.1,Pregunta.48.2,Pregunta.48.3,Pregunta.48.4,Pregunta.48.5,Pregunta.48.6,Pregunta.48.7,Pregunta.48.8,Pregunta.49.llamada.1,Pregunta.49.llamada.2,Pregunta.49.llamada.3,Pregunta.49.llamada.4,Pregunta.49.llamada.5,Pregunta.49.llamada.6,Pregunta.49.internet.1,Pregunta.49.internet.2,Pregunta.49.internet.3,Pregunta.49.internet.4,Pregunta.49.internet.5,Pregunta.49.internet.6,Pregunta.51.1,Pregunta.51.2,Pregunta.51.3,Pregunta.51.4,Pregunta.51.5,Pregunta.51.6,Pregunta.51.7,Pregunta.51.8,Pregunta.52.a,Pregunta.53.a,Pregunta.52.b,Pregunta.53.b,Pregunta.52.c,Pregunta.53.c,Pregunta.52.d,Pregunta.53.d,Pregunta.54,Pregunta.55.1,Pregunta.55.2,Pregunta.55.3,Pregunta.55.5,Pregunta.55.6,Pregunta.55.7,Pregunta.55.8,Pregunta.55.9,Pregunta.55.10,Pregunta.55.11,Pregunta.55.12,Pregunta.56.a,Pregunta.56.b,Pregunta.56.c,Pregunta.56.d,Pregunta.56.e,Pregunta.56.f,Pregunta.56.g,Pregunta.56.h,Pregunta.56.i,Pregunta.56.j,Pregunta.56.k,Pregunta.57.1,Pregunta.57.2,Pregunta.57.3,Pregunta.57.4,Pregunta.57.5,Pregunta.57.6,Pregunta.57.7,Pregunta.57.8,Pregunta.57.9,Pregunta.57.10,Pregunta.57.11,Pregunta.57.12,Pregunta.58.1,Pregunta.58.2,Pregunta.58.3,Pregunta.58.4,Pregunta.58.5,Pregunta.58.6,Pregunta.58.7,Pregunta.58.8,Pregunta.58.9,Pregunta.58.10,Pregunta.58.11,Pregunta.58.12,Pregunta.58.13,Pregunta.58.14,Pregunta.59,Pregunta.60,Pregunta.61.1,Pregunta.61.2,Pregunta.61.3,Pregunta.61.4,Pregunta.61.5,Pregunta.61.6,Pregunta.61.7,Pregunta.61.8,Pregunta.61.9,Pregunta.61.10,Pregunta.61.11,Pregunta.62.1,Pregunta.62.2,Pregunta.62.3,Pregunta.62.4,Pregunta.62.5,Pregunta.62.6,Pregunta.62.7,Pregunta.62.8,Pregunta.62.9,Pregunta.62.89,Pregunta.63,Pregunta.64.1,Pregunta.64.2,Pregunta.64.3,Pregunta.64.4,Pregunta.64.5,Pregunta.64.6,Pregunta.64.7,Pregunta.64.8,R65,Pregunta.65.1,Pregunta.65.2,Pregunta.65.3,Pregunta.65.4,Pregunta.66,Pregunta.67.1,Pregunta.67.2,Pregunta.67.3,Pregunta.67.4,Pregunta.68,Pregunta.69,Pregunta.70.1,Pregunta.70.2,Pregunta.70.3,Pregunta.70.4,Pregunta.70.5,Pregunta.70.6,Pregunta.70.7,Pregunta.70.8,Pregunta.70.9,Pregunta.71,Pregunta.72.1,Pregunta.72.2,Pregunta.72.3,Pregunta.72.4,Pregunta.72.5,Pregunta.72.89,Pregunta.73.1,Pregunta.73.2,Pregunta.73.3,Pregunta.73.4,Pregunta.73.5,Pregunta.73.6,Pregunta.73.7,Pregunta.73.8
1398726324,2,,2,7,89,5,1,1,,,,,,1,5,4,1,5,4,1,5,4,2,,,2,1,2,3,4,5,6,,,9,10,,,1,1,,,,,1,,,5,5,5,5,3,,,3,,1,2,,,,6,,,,,4,1,1,2,3,4,89,APP PARA BATERIAS DE CARROS,5,4,2,,2,,,1,1,2,,1,3,1,2,3,,5,,7,8,9,10,11,12,,14,,16,,1,1,1,5,1,2,,,5,,2,1,1,1,2,,,,6,7,,5,3,3,4,5,4,4,1,1,1,1,1,,,3,,,5,1,,,3,,,5,2,,,,,,,2,,,,,,,2,,,,,,,,1,,2,,,,,5,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,5,,,1,,2,,,,,5,,,1,,2,,,,,5,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,5,,,2,,,,,,,,,,2,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,3,4,2,2,4,4,4,2,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,,,,6,,,2,,2,,2,,1,1,1,,2,3,5,,7,8,,,,,,,,,,,,,,,97,1,,,,,,,,,,,,1,,3,4,5,,,,,,,,,,5,1,1,2,,,5,6,7,,,,,1,,,,,,,,,,5,1,1,2,1,2,99,99,99,2,,2,,,1,1,,,,5,3,4,4,4,4,4,4,4,4,3,1,1,2,,,,,,,,,,6,7,8
659893899,4,44,2,4,89,6,2,,1,,,,,1,4,4,2,,,1,3,4,1,5,4,2,1,2,3,4,5,,,,9,,,,1,1,,,,,1,,,5,5,5,4,4,,,,4,1,,,,5,,,1,,,,2,,,,,,,,,,,,,,2,,2,,1,2,,,,,,,7,8,9,,,,,,,,,2,2,2,,,,,,,,2,2,2,,2,3,,,,,,1,3,3,5,1,3,4,1,1,1,1,1,,,3,,,5,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,5,,,1,,2,,,,,5,,,1,,2,,,,,4,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,3,3,3,4,5,4,4,4,3,2,2,2,2,2,2,1,2,2,1,2,2,,,3,,5,6,,,2,,2,,2,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,2,3,,,3,,1,1,,,,3,3,5,5,5,4,3,2,2,4,1,2,,,,,,,,,,,,,,
659893899,3,,2,2,4,6,2,,1,,,,,1,5,4,1,5,4,1,5,4,1,5,4,2,1,2,3,,,,,,,,,,1,1,,,,,1,,,3,3,3,3,3,,,3,,1,2,,,,6,,1,,3,,1,1,,,,,,5,3,3,,,3,,2,,2,,1,4,1,2,3,,5,6,,8,9,10,,,,,,,,2,1,1,2,1,2,,,,,2,2,2,1,2,3,,,,,,3,5,1,5,1,3,5,2,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,1,,,,,3,,,,2,,,,,,,,,,1,1,,,,,3,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,3,5,3,3,4,2,3,4,4,1,1,1,2,1,2,1,1,1,1,1,1,,,,4,,6,,,2,,2,,2,,2,,1,,,,5,,,8,9,,,,,2,,,,,7,,9,,,,,3,,,,,,,,,,,2,3,4,,,,8,9,,11,,13,,5,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,2,2,2,3,,,3,,1,,2,,,5,5,5,5,5,5,5,5,5,5,5,1,1,,,,,,1,,,,,6,7,8
1398726324,3,,2,5,3,6,1,1,,,,,,1,5,4,1,5,4,1,5,4,1,5,4,2,1,2,3,4,5,,,,,,,,1,1,,,,,1,,,5,5,5,5,2,,2,,,1,2,,,,,,1,,3,,1,1,,,,,,3,2,2,,2,,,2,,2,,2,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,2,,,,,,,,2,2,2,1,2,3,,,,,,3,5,1,4,1,1,2,1,2,1,1,1,,,3,,,4,1,,,3,,,4,1,,,3,,,4,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,4,,,1,,2,,,,,4,,,1,,2,,,,,4,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,3,1,2,4,3,3,4,2,4,4,2,1,1,1,2,2,1,2,2,2,1,2,1,,,3,4,,6,,,2,,2,,2,,2,,1,1,,,5,,,,,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,2,,,,,,8,,,,,,,5,1,,2,3,,,,,,,,,,,3,,,,,8,,,1,2,1,2,2,2,2,2,2,2,,2,,,1,1,,,,4,4,2,4,3,4,2,1,2,2,4,2,,,,,,,,,,,,,,
1398726324,3,,2,5,3,6,1,1,,,,,,1,5,4,1,5,4,1,5,4,1,5,4,2,1,2,3,4,5,,,,,,,,1,1,,,,,1,,,5,5,5,5,2,,2,,,1,2,,,,,,1,,3,,1,1,,,,,,3,2,2,,2,,,2,,2,,2,,1,2,3,4,5,6,7,8,9,10,11,,13,14,15,16,,1,2,2,,,,,,,,2,2,2,1,2,3,,,,,,3,5,1,4,1,1,2,1,2,1,1,1,,,3,,,4,1,,,3,,,4,1,,,3,,,4,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,4,,,1,,2,,,,,4,,,1,,2,,,,,4,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,3,1,2,4,3,3,4,2,4,4,3,1,1,1,2,2,1,2,2,2,1,2,1,,,3,4,,6,,,2,,2,,2,,2,,1,1,,,5,,,,,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,2,,,,,,8,,,,,,,5,1,,2,3,,,,,,,,,,,3,,,,,8,,,1,2,1,2,2,2,2,2,2,2,,2,,,1,1,,,,4,4,2,4,3,4,2,1,2,2,4,2,,,,,,,,,,,,,,
1398726324,3,,2,7,3,6,1,1,,,,,,1,5,4,1,5,4,1,5,4,1,5,4,2,1,2,3,4,,,,,,,,,1,1,,,,,1,,,5,4,4,4,2,,2,,,1,2,,,,,,1,,3,,1,1,2,3,,,,5,3,2,,2,,,2,,2,,1,4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,1,1,1,,,4,,,2,2,2,,2,,,,,7,,4,5,1,5,1,1,5,1,1,1,1,1,,,3,,,4,1,1,,3,1,,3,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,5,,,1,,2,,,,,5,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,5,,,1,,2,,,,,5,,,1,,2,,,,,5,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,1,2,,,,5,5,,,2,,,,,,,,,,2,,,,,,,,,,,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,3,2,4,1,3,4,2,4,3,2,1,1,1,1,2,2,1,1,1,1,2,2,,,3,,5,6,,,2,,1,1,1,1,1,1,1,,,,5,6,7,,,,,,,,3,,,,,8,9,,,1,,3,,,6,,,,,,,,2,3,,,,7,,,,,,,,5,1,1,2,,4,,,7,,,,11,,,3,,,,,8,9,,3,1,1,2,1,2,1,2,2,1,1,,,,1,1,,3,,5,3,5,5,5,3,3,3,4,1,1,1,1,2,3,4,,,,,,,,6,7,8
1398726324,3,,2,7,3,8,1,1,,,,,,2,,,2,,,1,5,4,1,5,4,2,1,2,3,4,5,,,,9,10,,,1,1,,,,,1,,,4,4,4,4,4,,,,4,1,2,,,5,6,,,,3,,1,1,,3,,,,5,3,4,,,,4,2,,2,,1,4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,1,3,1,2,3,,,,1,2,1,1,2,3,,,,,,3,5,1,5,1,1,5,1,2,1,1,1,,,3,,,3,1,,,3,,,2,1,,,3,,,4,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,4,,,1,,2,,,,,4,,,1,,2,,,,,4,,,1,,2,,,,,4,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,3,2,1,4,2,4,5,3,5,2,3,2,1,1,2,2,2,1,2,1,1,1,2,,2,,,,6,,,2,,2,,1,1,1,1,1,,2,3,5,,,,,,,,,,,,5,,,8,9,,,1,,,,,,,,,,,,1,,,,5,6,,8,9,10,,,,,5,1,1,2,3,,,,,,,,11,,,,4,,6,,,9,,1,1,1,2,2,2,2,2,2,3,,,3,,1,,2,,,5,3,5,5,5,5,4,4,5,5,3,1,1,2,3,4,5,,,,,,,,7,8
1398726324,3,,2,7,89,8,1,1,,,,,,1,5,4,2,,,1,5,4,1,5,4,2,1,2,,4,5,,,,,10,,,1,1,,,,,1,,,3,4,4,4,3,,,3,,1,2,,4,,,,1,,,,1,1,,3,,,,5,3,3,,,3,,2,,2,,2,,1,,3,4,5,6,,8,9,,,,,14,15,,,1,1,1,5,,,,,,99,2,2,2,1,2,,,5,,,,5,5,1,4,5,5,4,1,1,1,1,1,,,3,,,5,2,,,,,,,2,,,,,,,1,,,3,,,5,2,,,,,,,,1,1,,,,,4,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,1,,,,,5,,,,2,,,,,,,,,,1,1,,,,,5,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,3,1,2,4,3,3,5,4,4,3,5,1,2,1,2,1,1,1,99,1,1,1,1,1,,3,,,6,,,2,,1,1,2,,1,1,1,,,3,,,,,9,,,12,,2,,,5,6,7,,,10,,1,,,,,,,,,,,,1,,3,,,,7,8,9,,11,,13,,5,1,,2,3,4,5,,,8,,,,1,,3,4,5,,7,8,9,,5,2,2,2,2,2,1,2,2,1,1,,,,1,1,,,,5,4,5,5,5,4,4,2,3,3,2,1,1,2,3,,5,,,,,,,6,7,8
1398726324,3,,2,4,4,6,1,1,,,,,,1,5,4,1,5,4,1,5,4,1,5,4,2,1,2,,4,5,,,,9,10,11,,1,1,,,,,1,,,4,4,4,4,1,1,,,,1,2,3,,5,,,1,,3,,1,1,,3,,,,5,3,2,,2,,,2,,2,,1,4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,1,1,3,1,2,3,4,5,,2,2,2,1,2,3,,,,7,,5,5,1,5,1,5,5,1,1,1,1,1,1,,3,4,,4,2,,,,,,,2,,,,,,,1,,2,,,4,,2,,,,,,,,1,1,2,,,,4,4,,,2,,,,,,,,,,1,1,2,,,,4,4,,,1,1,2,,,,4,4,,,2,,,,,,,,,,2,,,,,,,,,,1,,,3,,,,,4,,1,,,3,,,,,4,,1,,,3,,,,,4,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,3,4,2,3,5,3,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,,,3,4,,,7,,2,,1,1,1,1,1,1,1,1,2,3,5,6,7,,,,,12,,,,4,5,,,,,,,1,,3,,,,,,,,,,,,,4,,6,7,8,,,11,,,,5,1,1,2,,,,,7,,,,,,,,4,5,,,8,9,,3,1,1,1,2,2,2,2,2,1,1,,,,1,1,,,,5,3,5,5,5,5,5,3,3,3,3,1,1,,,,5,,,,,,,,7,8
475249501,1,,2,5,89,4,1,1,,,,,,2,,,1,4,4,2,,,1,4,4,2,1,2,,4,,,,,,,,,1,1,,,,,1,2,,4,4,3,3,2,,2,,,1,,,,,,,1,,3,,1,1,,,,,,5,2,2,,2,,,2,,1,2,1,3,,,3,,5,,,,,10,,12,,14,,,,2,2,2,,,,,,,,2,2,2,,,,,,6,,,3,5,3,5,2,3,3,2,,,,1,,,3,,,4,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,5,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,4,,,2,,,,,,,,,,,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,3,1,2,2,2,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,,,3,,,,7,,2,,2,,2,,2,,1,,,,,,,8,,10,,12,,2,,,,,,,,,,1,,,,,6,,,,,,12,,2,,,5,,,,,10,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,2,2,2,2,,2,,,1,1,,,,4,2,4,4,4,4,3,4,4,5,2,1,,,,,,89,,,3,,,,,
1398726324,2,,2,4,2,3,2,,1,,,,,2,,,2,,,1,5,4,2,,,2,1,,,,,,,,,,,,1,1,,,,,1,,,4,3,3,4,3,,,3,,1,,,,,,,,,3,,2,,,,,,,,,,,,,,2,,2,,2,,,,3,,,6,,,,,,,,,,,,2,2,2,,,,,,,,2,2,2,,,,,,,,8,4,4,4,4,4,4,4,1,1,1,1,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,3,2,3,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,7,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,4,1,2,2,2,2,2,2,2,3,,,3,,2,,,,,2,2,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,
1398726324,2,,2,7,5,3,1,2,,,,,,1,5,4,1,5,4,1,5,4,1,5,4,2,1,,,,,,,,,,,,1,1,,,,,1,,,4,4,4,4,3,,,3,,,,,,,6,,,,3,,1,1,,,,,,2,1,3,,,3,,1,5,2,,1,3,,,,,,6,,8,9,10,,12,,,15,,,2,2,2,,,,,,,,2,2,2,1,2,,,,,,,5,1,2,4,4,4,3,1,1,1,1,1,,,3,,,4,1,,,3,,,4,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,3,1,2,4,3,5,5,3,4,1,99,1,2,2,2,99,1,2,1,2,1,99,1,1,,,,,6,7,,2,,2,,1,2,2,,1,,,3,5,,,,,,,,,,,,,6,7,8,,,,1,,,,,,,,,,,,,,,,5,,,,,10,,,13,,5,2,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,2,2,2,2,,2,,,2,,,,,5,1,4,5,1,1,1,1,1,1,1,1,1,,3,,,,,2,,,,6,,8
